wst_oper,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
RCY,THS_T,AT	50.5 	62.1 	63.5 	64.4 	63.5 	63.4 	64.3 e	62.5 e	64.2 e	57.4 	58.3 	59.2 	60.2 	63.2 	61.9 	59.4 	56.7 	57.7 	57.7 	: 
RCY,THS_T,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
RCY,THS_T,BE	19.0 	25.0 	33.8 	41.0 	45.0 	48.4 	48.6 	49.4 	51.0 	51.7 	53.8 	54.6 	56.8 	56.2 	57.4 	57.7 	57.4 	55.7 	54.9 	55.1 
RCY,THS_T,BG	0.0 	0.0 	0.0 	15.9 e	15.7 e	15.5 e	16.1 e	16.3 e	16.5 e	17.2 e	18.3 e	19.1 e	20.6 e	19.4 e	19.9 e	24.5 	26.2 	25.0 	28.5 	23.1 
RCY,THS_T,CH	38.7 	41.2 	42.5 	43.7 	42.9 	45.3 	46.6 	46.7 	47.5 	48.7 	50.6 	50.1 	51.0 	49.9 	51.3 	50.5 	50.1 	50.0 	51.0 	53.5 
RCY,THS_T,CY	0.0 	2.8 	3.2 	2.9 	3.1 	3.0 	3.1 	3.2 	3.1 	3.2 	3.7 	4.2 	5.2 	7.3 	8.3 	15.1 	20.7 	22.1 	22.0 	25.5 e
RCY,THS_T,CZ	0.0 	0.0 	0.0 	0.6 	0.9 	0.9 	0.9 	0.9 	0.9 	5.5 e	6.2 e	7.4 e	10.1 e	10.4 e	12.4 e	15.8 e	17.0 e	23.2 e	24.2 e	25.4 e
RCY,THS_T,DE	39.4 s	42.2 s	44.1 s	45.6 s	51.1 s	52.5 s	52.3 s	56.1 	57.8 	56.4 	60.9 	62.1 	63.2 	63.8 	63.1 	62.5 	63.0 	65.2 	63.8 	63.8 e
RCY,THS_T,DK	25.2 	32.6 	30.1 	30.5 	33.8 	31.5 	30.8 	32.8 	33.6 	34.0 	34.4 	35.3 	37.6 	42.0 	43.7 	42.3 e	41.5 	41.0 	43.5 	44.3 
RCY,THS_T,EE	0.6 	0.2 	0.2 	0.2 	0.0 	2.4 	5.1 	2.7 	15.0 	24.8 	22.5 	17.4 	23.1 	20.2 	21.0 	18.2 	23.3 	19.1 	17.9 	31.3 
RCY,THS_T,EL	: 	: 	9.2 	8.9 	8.9 	8.8 	8.8 	8.8 	8.1 	10.1 	11.8 	12.8 	20.1 	17.7 	18.9 	17.1 	18.0 	19.3 	19.3 s	: 
RCY,THS_T,ES	7.0 	7.8 	8.4 	9.2 	14.2 	18.4 	21.4 	29.3 	28.7 	30.9 	31.4 	31.2 	30.6 	39.7 	33.2 	29.2 	26.7 	29.8 	32.5 	32.6 e
RCY,THS_T,EU27	: 	: 	: 	: 	: 	25.2 s	26.4 s	28.3 s	29.3 s	30.5 s	31.8 s	32.8 s	35.1 s	36.7 s	37.7 s	38.5 s	39.8 s	41.8 s	42.4 s	43.7 s
RCY,THS_T,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34.9 s	36.4 s	37.5 s	38.3 s	39.6 s	41.6 s	42.3 s	43.5 s
RCY,THS_T,FI	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	35.6 	34.3 	35.9 	32.8 	34.8 	33.3 	32.5 	32.5 
RCY,THS_T,FR	17.7 	18.7 	20.0 	21.8 	22.9 	24.5 	26.1 	27.3 	28.0 	29.0 	29.7 	30.6 	31.9 	33.3 	34.1 	34.9 	36.9 	37.8 	38.6 	39.2 
RCY,THS_T,HR	: 	: 	0.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.1 	2.8 	2.3 	4.0 	8.3 	14.7 	14.9 	16.5 
RCY,THS_T,HU	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	2.5 	3.5 	11.8 	9.6 	10.4 	12.1 	15.2 	15.4 	19.6 	22.0 	25.5 	26.4 	30.5 
RCY,THS_T,IE	: 	: 	: 	8.1 	: 	11.9 	11.3 	18.3 	23.6 s	29.5 s	31.1 s	33.1 s	34.1 s	33.6 	33.5 	35.7 	36.1 	36.6 	36.6 s	: 
RCY,THS_T,IS	7.9 	9.4 	8.3 	10.6 	12.7 	15.4 	15.8 	16.1 	16.4 	: 	: 	: 	: 	19.1 	23.9 	33.0 	39.2 	42.6 	44.6 	: 
RCY,THS_T,IT	4.8 	6.4 	9.3 	11.0 	12.1 	14.2 	17.8 	14.8 	16.3 	17.6 	18.5 	19.2 	25.0 	23.8 	29.7 	31.0 	35.5 	38.4 	39.4 	42.5 
RCY,THS_T,LT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.9 s	1.9 s	1.9 s	7.5 	8.5 	8.5 	4.9 	19.9 	23.5 	27.8 	30.5 
RCY,THS_T,LU	20.0 	20.2 	26.9 	30.8 	30.6 	36.1 	37.2 	38.1 	42.5 	41.5 	43.5 	43.7 	45.0 	46.0 	46.2 	46.5 	46.4 	47.4 	46.6 	46.6 e
RCY,THS_T,LV	0.0 e	0.0 e	0.0 e	0.0 e	0.0 e	0.0 e	0.4 	0.4 	2.3 	4.6 	3.8 	4.5 	5.0 	6.4 	7.7 	9.4 	9.7 	15.8 	16.9 	8.0 
RCY,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.9 	1.0 	: 
RCY,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	: 	: 	0.0 	: 	: 	: 
RCY,THS_T,MT	13.7 e	12.2 e	10.8 e	9.6 e	7.2 	10.1 	9.0 	5.1 	6.5 	6.4 	8.7 	13.4 	4.1 	2.9 	3.4 	5.2 	11.4 	12.1 	12.6 	10.9 
RCY,THS_T,NL	39.7 	41.5 	43.6 	43.9 	43.8 	44.1 	43.7 	45.3 	45.6 	46.9 	46.7 	46.8 	48.3 	48.4 	49.1 	49.2 	49.1 	49.4 	49.8 	50.9 
RCY,THS_T,NO	13.7 	19.9 	24.7 	22.4 	29.5 	30.6 	44.3 	45.4 	45.8 	36.5 	39.3 	40.3 	42.6 	43.6 	43.0 	42.1 	39.9 	39.8 	39.2 	42.2 
RCY,THS_T,PL	1.8 	1.9 	3.0 	2.0 	2.0 	2.1 	4.1 	3.1 	2.8 	4.9 	5.6 	6.9 	7.7 	10.5 	17.4 	21.4 	17.5 	19.6 	24.2 	32.3 e
RCY,THS_T,PT	9.7 	9.8 	9.9 	10.3 	10.7 	10.5 	11.9 	7.6 	10.9 	13.5 	15.2 	15.9 	17.1 	17.3 	19.5 	18.7 	20.1 	26.1 	25.8 	30.4 
RCY,THS_T,RO	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.6 	2.0 	0.2 	1.1 	1.8 	0.5 	0.4 	0.9 	1.1 	12.8 	11.7 	14.8 	13.2 	: 
RCY,THS_T,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.7 
RCY,THS_T,SE	26.3 	30.4 	32.6 	35.0 	37.3 	38.3 	39.0 	39.7 	41.3 	44.0 	44.8 	47.9 	46.9 	45.8 	49.5 	48.1 	47.3 	47.2 	48.7 	49.9 
RCY,THS_T,SI	2.0 	5.3 s	6.0 s	9.6 	6.3 s	6.0 s	2.7 	9.0 	12.6 	20.4 	18.6 	15.4 	21.9 	18.9 	19.6 	22.4 	35.6 	41.9 	34.8 	36.0 
RCY,THS_T,SK	2.8 s	2.8 s	2.8 s	2.8 s	2.8 s	2.8 s	2.8 s	5.1 	5.8 	6.2 	2.0 	4.1 	6.6 	7.4 	8.2 	9.1 	10.3 	13.3 	10.8 	10.3 
RCY,THS_T,TR	0.6 	0.6 	0.6 	0.5 	0.7 	0.8 	0.7 	1.2 	1.0 	1.2 	1.1 	0.8 	1.1 	1.0 	1.0 	0.7 	0.9 s	0.8 	: 	: 
RCY,THS_T,UK	: 	: 	: 	: 	: 	11.1 	12.4 	14.5 	18.1 	22.6 	26.7 	30.3 	33.6 	36.4 	38.3 	40.2 	42.0 	42.6 	43.3 	43.7 
